0,1,2,3,4
MYC_HUMAN,4609,RAF1_HUMAN,5894,0.9
AGO4_HUMAN,192670,TNR6A_HUMAN,27327,0.86
SMCA5_HUMAN,8467,H4_HUMAN,8368,0.92
RBBP5_HUMAN,5929,WDR5_HUMAN,11091,0.99
RP3A_HUMAN,22895,ADDB_HUMAN,119,0.86
SARM1_HUMAN,23098,MYD88_HUMAN,4615,0.86
BAF_HUMAN,8815,LAP2A_HUMAN,7112,0.88
SDCB1_HUMAN,6386,GRIK1_HUMAN,2897,0.86
GRB2_HUMAN,2885,SHIP2_HUMAN,3636,0.88
H4_HUMAN,8360,CENPA_HUMAN,1058,0.9
SEPT2_HUMAN,4735,SEPT7_HUMAN,989,0.99
MAVS_HUMAN,57506,DDX3X_HUMAN,1654,0.87
TMED2_HUMAN,10959,TMEDA_HUMAN,10972,0.97
KCC2G_HUMAN,818,RAD_HUMAN,6236,0.89
HNRPD_HUMAN,3184,HSPB1_HUMAN,3315,0.9
UBQL1_HUMAN,29979,PSN2_HUMAN,5664,0.89
NUP43_HUMAN,348995,NUP85_HUMAN,79902,0.87
NMUR1_HUMAN,10316,NMU_HUMAN,10874,0.93
APTX_HUMAN,54840,XRCC4_HUMAN,7518,0.88
GDS1_HUMAN,5910,KIFA3_HUMAN,22920,0.88
CA086_HUMAN,199990,REV1_HUMAN,51455,0.87
KI2L2_HUMAN,3803,1C01_HUMAN,3107,0.9
EXOC5_HUMAN,10640,EXC6B_HUMAN,23233,0.88
AURKA_HUMAN,6790,TACC1_HUMAN,6867,0.88
CDK4_HUMAN,1019,HS90B_HUMAN,3326,0.87
RASH_HUMAN,3265,LEG1_HUMAN,3956,0.87
ARHG7_HUMAN,8874,SHAN2_HUMAN,22941,0.88
MED18_HUMAN,54797,MED9_HUMAN,55090,0.88
EGFR_HUMAN,1956,SRC8_HUMAN,2017,0.89
GATA4_HUMAN,2626,SRF_HUMAN,6722,0.88
PAR6A_HUMAN,50855,CDC42_HUMAN,998,0.97
ANM5_HUMAN,10419,H4_HUMAN,8367,0.89
BUB1B_HUMAN,701,CDC27_HUMAN,996,0.9
KAPCB_HUMAN,5567,KAP3_HUMAN,5577,0.94
CBX5_HUMAN,23468,H4_HUMAN,8366,0.9
STK3_HUMAN,6788,RASF5_HUMAN,83593,0.9
SEP12_HUMAN,124404,SEPT4_HUMAN,5414,0.88
MCM3_HUMAN,4172,MCM2_HUMAN,4171,0.99
ASF1A_HUMAN,25842,H4_HUMAN,8294,0.99
ZAP70_HUMAN,7535,DBNL_HUMAN,28988,0.89
DDB1_HUMAN,100290337,DCAF4_HUMAN,26094,0.88
CNN1_HUMAN,1264,ACTS_HUMAN,58,0.86
BNIP2_HUMAN,663,RHG01_HUMAN,392,0.9
SOSB1_HUMAN,79035,SOSSC_HUMAN,58493,0.88
PAI1_HUMAN,5054,A1AG1_HUMAN,5004,0.9
1433G_HUMAN,7532,FRMD6_HUMAN,122786,0.89
PGFRB_HUMAN,5159,SRC_HUMAN,6714,0.87
SUMO1_HUMAN,7341,TNR1A_HUMAN,7132,0.89
ARC1A_HUMAN,10552,ARPC4_HUMAN,10093,0.92
